# x, y, psi, w_tr_right, w_tr_left, kappa, velocity
-4.040,1.790,4.713,0.500,0.500,-1.156,1.993
-4.040,1.490,4.895,0.492,0.492,2.529,1.989
-3.890,1.190,5.325,0.541,0.541,0.224,1.984
-3.640,0.890,5.526,0.570,0.570,0.775,2.619
-3.340,0.690,5.899,0.619,0.619,1.343,2.564
-3.040,0.590,5.872,0.619,0.619,-1.555,2.536
-2.740,0.390,5.620,0.559,0.559,0.116,2.507
-2.490,0.190,5.566,0.531,0.531,-0.457,2.677
-2.190,-0.060,5.719,0.559,0.559,1.177,1.997
-1.890,-0.160,6.282,0.559,0.559,2.607,1.959
-1.590,-0.110,0.109,0.502,0.502,-1.816,1.919
-1.290,-0.110,0.055,0.461,0.461,1.487,2.594
-0.990,-0.060,0.160,0.500,0.500,-0.765,2.451
-0.690,-0.060,6.072,0.522,0.522,-1.761,2.383
-0.390,-0.160,6.015,0.474,0.474,1.390,2.313
-0.090,-0.210,6.113,0.522,0.522,-0.734,2.577
0.210,-0.260,6.243,0.550,0.550,1.614,2.489
0.510,-0.210,0.335,0.570,0.570,0.919,2.399
0.810,-0.060,0.565,0.474,0.474,0.440,4.767
1.110,0.140,0.554,0.427,0.427,-0.499,4.136
1.410,0.290,0.365,0.427,0.427,-0.637,3.963
1.710,0.390,0.335,0.427,0.427,0.446,3.066
2.010,0.490,0.223,0.500,0.500,-1.168,2.925
2.310,0.540,0.227,0.500,0.500,1.196,2.891
2.610,0.640,0.324,0.500,0.500,-0.570,2.739
2.910,0.740,0.409,0.474,0.474,1.126,2.980
3.210,0.940,0.743,0.461,0.461,0.742,2.793
3.410,1.190,1.087,0.472,0.472,1.436,2.639
3.510,1.490,1.348,0.453,0.453,0.241,2.475
3.560,1.790,1.485,0.500,0.500,0.664,3.881
3.560,2.090,1.642,0.502,0.502,0.385,3.235
3.510,2.390,1.866,0.522,0.522,1.088,3.032
3.360,2.690,2.191,0.531,0.531,0.878,2.815
3.060,2.990,2.499,0.500,0.500,0.580,4.153
2.760,3.190,2.557,0.461,0.461,-0.264,6.154
2.460,3.390,2.595,0.472,0.472,0.472,4.602
2.160,3.540,2.766,0.492,0.492,0.554,4.247
1.860,3.640,2.840,0.474,0.474,-0.086,3.891
1.560,3.740,2.793,0.474,0.474,-0.208,6.935
1.260,3.840,2.907,0.474,0.474,0.936,3.269
0.960,3.890,2.974,0.500,0.500,-0.480,2.971
0.660,3.940,3.054,0.500,0.500,1.018,3.135
0.360,3.940,3.164,0.502,0.502,-0.273,2.834
0.060,3.940,3.137,0.500,0.500,0.095,8.500
-0.240,3.940,3.136,0.500,0.500,-0.105,8.500
-0.540,3.940,3.169,0.522,0.522,0.322,3.162
-0.840,3.940,3.038,0.500,0.500,-1.205,2.880
-1.140,3.990,3.036,0.550,0.550,1.190,2.568
-1.440,3.990,3.175,0.500,0.500,-0.248,6.356
-1.740,3.990,3.111,0.500,0.500,-0.177,7.508
-2.040,3.990,3.230,0.500,0.500,0.977,3.199
-2.340,3.940,3.313,0.461,0.461,-0.420,2.820
-2.640,3.890,3.358,0.492,0.492,0.721,3.725
-2.940,3.790,3.560,0.492,0.492,0.563,3.264
-3.240,3.640,3.601,0.472,0.472,-0.318,5.607
-3.540,3.490,3.666,0.472,0.472,0.697,3.788
-3.840,3.240,4.044,0.515,0.515,1.252,2.826
-3.990,2.940,4.454,0.522,0.522,1.249,2.447
-4.040,2.640,4.544,0.550,0.550,-0.649,2.973
-4.090,2.340,4.655,0.522,0.522,1.429,2.645
