# x, y, psi, w_tr_right, w_tr_left
-0.920,3.866,4.887,1.140,1.140
-0.920,3.566,4.604,1.100,1.100
-0.970,3.266,4.482,1.150,1.150
-1.070,2.966,4.284,1.150,1.150
-1.220,2.666,4.308,1.000,1.000
-1.320,2.366,4.410,0.900,0.900
-1.420,2.066,4.397,0.850,0.850
-1.520,1.766,4.347,0.800,0.800
-1.620,1.466,4.564,0.750,0.750
-1.620,1.166,4.721,0.750,0.750
-1.620,0.866,4.824,0.700,0.700
-1.570,0.566,4.750,0.658,0.658
-1.570,0.266,4.940,0.667,0.667
-1.370,0.016,5.814,0.600,0.600
-1.070,-0.034,6.266,0.550,0.550
-0.770,-0.034,0.031,0.550,0.550
-0.470,-0.034,6.178,0.550,0.550
-0.170,-0.084,6.181,0.570,0.570
0.130,-0.084,0.020,0.600,0.600
0.430,-0.084,0.020,0.600,0.600
0.730,-0.084,6.181,0.600,0.600
1.030,-0.134,6.178,0.619,0.619
1.330,-0.134,0.030,0.650,0.650
1.630,-0.134,6.269,0.667,0.667
1.930,-0.084,0.589,0.752,0.752
2.080,0.166,1.281,0.700,0.700
2.130,0.466,1.511,0.680,0.680
2.130,0.766,1.614,0.650,0.650
2.130,1.066,1.455,0.652,0.652
2.180,1.366,1.495,0.700,0.700
2.130,1.666,2.007,0.765,0.765
1.930,1.916,2.395,0.961,0.961
1.630,2.166,2.466,0.966,0.966
1.330,2.416,2.425,0.850,0.850
1.080,2.716,1.941,0.600,0.600
1.030,3.016,1.705,0.550,0.550
0.980,3.316,1.664,0.500,0.500
0.980,3.616,1.558,0.461,0.461
0.980,3.916,1.530,0.453,0.453
1.030,4.216,1.260,0.502,0.502
1.230,4.516,0.571,0.695,0.695
1.530,4.616,0.308,0.702,0.702
1.830,4.716,0.145,0.750,0.750
2.130,4.766,0.633,0.800,0.800
2.230,5.066,1.514,0.806,0.806
2.230,5.366,1.584,0.806,0.806
2.230,5.666,1.581,0.800,0.800
2.230,5.966,1.518,0.800,0.800
2.230,6.266,1.773,0.800,0.800
2.030,6.566,2.560,0.702,0.702
1.730,6.666,2.932,0.626,0.626
1.430,6.716,3.092,0.600,0.600
1.130,6.716,3.060,0.600,0.600
0.830,6.766,3.024,0.602,0.602
0.530,6.766,3.198,0.608,0.608
0.230,6.766,3.029,0.619,0.619
-0.070,6.816,3.041,0.650,0.650
-0.370,6.816,3.163,0.652,0.652
-0.670,6.816,3.155,0.738,0.738
-0.920,6.766,3.728,0.765,0.765
-1.070,6.466,4.505,0.650,0.650
-1.120,6.166,4.539,0.650,0.650
-1.170,5.866,4.625,0.650,0.650
-1.170,5.566,4.739,0.650,0.650
-1.170,5.266,4.692,0.716,0.716
-1.170,4.966,4.769,0.752,0.752
-1.120,4.666,5.003,0.852,0.852
-1.020,4.366,4.948,1.000,1.000
-0.970,4.066,4.932,1.069,1.069
