-0.206,6.936,3.682,0.665,3.604
-0.370,6.823,3.804,0.564,3.676
-0.519,6.693,3.909,0.497,3.801
-0.656,6.547,4.003,0.439,3.944
-0.779,6.391,4.083,0.366,4.098
-0.889,6.229,4.148,0.302,4.279
-0.991,6.058,4.201,0.233,4.479
-1.083,5.886,4.240,0.178,4.706
-1.169,5.709,4.275,0.180,4.923
-1.251,5.527,4.310,0.174,5.130
-1.324,5.347,4.345,0.184,5.328
-1.393,5.156,4.383,0.192,5.501
-1.453,4.970,4.420,0.178,5.648
-1.507,4.778,4.454,0.166,5.795
-1.555,4.583,4.486,0.152,5.942
-1.597,4.390,4.513,0.116,6.092
-1.634,4.195,4.533,0.083,6.259
-1.668,3.999,4.547,0.064,6.422
-1.700,3.803,4.558,0.054,6.581
-1.729,3.607,4.568,0.044,6.662
-1.757,3.409,4.576,0.035,6.415
-1.783,3.213,4.582,0.026,6.143
-1.809,3.017,4.586,0.021,5.842
-1.833,2.819,4.592,0.036,5.530
-1.856,2.623,4.601,0.053,5.211
-1.877,2.425,4.616,0.121,4.933
-1.893,2.227,4.651,0.236,4.738
-1.900,2.031,4.709,0.354,4.635
-1.893,1.831,4.785,0.408,4.568
-1.870,1.635,4.871,0.464,4.549
-1.830,1.441,4.967,0.478,4.541
-1.771,1.251,5.061,0.472,4.535
-1.695,1.069,5.155,0.476,4.522
-1.600,0.891,5.249,0.455,4.513
-1.493,0.727,5.337,0.455,4.481
-1.366,0.568,5.430,0.459,4.441
-1.232,0.428,5.520,0.465,4.397
-1.080,0.296,5.617,0.504,4.380
-0.922,0.184,5.717,0.522,4.378
-0.749,0.086,5.818,0.489,4.376
-0.570,0.006,5.906,0.420,4.403
-0.384,-0.059,5.988,0.403,4.484
-0.194,-0.109,6.064,0.366,4.537
0.002,-0.145,6.133,0.333,4.433
0.197,-0.169,6.196,0.302,4.280
0.397,-0.180,6.253,0.276,4.072
0.595,-0.181,0.029,0.354,3.829
0.794,-0.167,0.113,0.483,3.636
0.991,-0.134,0.221,0.600,3.483
1.181,-0.078,0.353,0.729,3.387
1.361,0.004,0.511,0.836,3.349
1.526,0.116,0.679,0.852,3.311
1.668,0.252,0.853,0.913,3.309
1.787,0.415,1.030,0.854,3.308
1.873,0.590,1.197,0.876,3.346
1.930,0.784,1.364,0.744,3.356
1.957,0.976,1.488,0.543,3.449
1.963,1.174,1.597,0.535,3.645
1.948,1.369,1.694,0.469,3.797
1.915,1.563,1.789,0.496,3.961
1.862,1.755,1.887,0.467,4.069
1.793,1.939,1.972,0.394,4.176
1.707,2.121,2.044,0.309,4.321
1.614,2.293,2.089,0.149,4.509
1.512,2.468,2.105,0.015,4.637
1.413,2.637,2.091,-0.152,4.317
1.317,2.812,2.045,-0.311,4.089
1.233,2.992,1.969,-0.435,3.924
1.164,3.178,1.872,-0.548,3.820
1.117,3.371,1.751,-0.654,3.786
1.094,3.568,1.620,-0.672,3.757
1.097,3.766,1.484,-0.709,3.756
1.129,3.962,1.342,-0.710,3.754
1.187,4.151,1.202,-0.702,3.752
1.271,4.330,1.065,-0.623,3.757
1.377,4.499,0.965,-0.385,3.818
1.494,4.658,0.912,-0.156,4.038
1.619,4.817,0.906,0.110,3.701
1.737,4.974,0.958,0.433,3.426
1.843,5.144,1.073,0.681,3.261
1.924,5.323,1.229,0.909,3.226
1.972,5.514,1.420,0.962,3.225
1.983,5.711,1.607,0.933,3.223
1.958,5.910,1.786,0.838,3.241
1.901,6.096,1.942,0.775,3.312
1.813,6.279,2.094,0.706,3.399
1.706,6.441,2.221,0.609,3.503
1.578,6.591,2.322,0.382,3.642
1.441,6.727,2.404,0.505,3.801
1.287,6.853,2.511,0.573,3.682
1.121,6.959,2.634,0.666,3.608
0.940,7.044,2.773,0.715,3.552
0.750,7.102,2.921,0.776,3.533
0.553,7.130,3.080,0.802,3.531
0.355,7.127,3.238,0.803,3.530
0.159,7.091,3.400,0.785,3.528
-0.027,7.027,3.546,0.704,3.540
